name,Provinsi Aceh,Provinsi Sumatera Utara,Provinsi Sumatera Barat,Provinsi Riau,Provinsi Jambi,Provinsi Sumatera Selatan,Provinsi Bengkulu,Provinsi Lampung,Provinsi Kepulauan Bangka Belitung,Provinsi Kepulauan Riau,Provinsi DKI Jakarta,Provinsi Jawa Barat,Provinsi Jawa Tengah,Provinsi DI Yogyakarta,Provinsi Jawa Timur,Provinsi Banten,Provinsi Bali,Provinsi Nusa Tenggara Barat,Provinsi Nusa Tenggara Timur,Provinsi Kalimantan Barat,Provinsi Kalimantan Tengah,Provinsi Kalimantan Selatan,Provinsi Kalimantan Timur,Provinsi Sulawesi Utara,Provinsi Sulawesi Tengah,Provinsi Sulawesi Selatan,Provinsi Sulawesi Tenggara,Provinsi Gorontalo,Provinsi Sulawesi Barat,Provinsi Maluku,Provinsi Maluku Utara,Provinsi Papua Barat,Provinsi Papua
Provinsi Kalimantan Tengah,1979795.8777102963,1596264.924445325,1404198.0645715422,1317773.0263485776,1218042.8702144455,1068396.9228498181,1244959.8914570315,941793.4788100088,781008.7244454793,852612.4543014546,881892.2798593192,871601.865454385,703705.5302321834,759329.5315020288,659728.75033584,965895.2318288126,770481.3506351112,888109.829459006,1149959.7744808418,262888.95917577134,0.0,262812.5015186283,499206.36630094994,1206300.3294133022,897699.1800091008,765186.1497749062,1014662.6012138425,1042728.9492958296,663251.4158425054,1872194.520383912,1645508.588265416,2202836.8956381115,2760273.12056415
Provinsi Kalimantan Selatan,2234087.4626290225,1843604.944436685,1632176.669772629,1556411.9712154137,1439805.6084594724,1263905.1608575277,1438744.5338200652,1108939.2389290999,983914.7947259031,1112101.3021704298,997691.8767896664,952959.7871483864,725610.6352531794,754525.3755744125,596100.4270481006,1086331.5172099874,588066.9506750483,656506.2094998596,888971.3653921593,525699.3926718263,262812.5015186283,0.0,538422.1833411211,1050840.0383533305,709608.9377728731,525095.3282996648,774345.9077632836,900650.6416603478,439797.8863462481,1651932.8272618656,1486112.2902406685,1999500.9281306576,2535733.092321599
Provinsi Kalimantan Timur,2211975.8037304627,1878156.346520561,1758378.270204799,1644286.7374342775,1594122.386473391,1495657.408366778,1668776.3500001403,1403683.2323137475,1211605.4131721773,954834.609785855,1373409.7693847595,1370088.3282052213,1196501.150110092,1245015.8639965532,1115937.3322937144,1454664.81141147,1119713.9064109868,1143068.2985192281,1250665.7121444035,589819.4998590188,499206.36630094994,538422.1833411211,0.0,848382.8503092303,654422.596629879,707883.096591177,905086.2496997742,678829.7652128033,586425.8811788645,1619835.6690003152,1267387.0924002705,1893802.685667783,2496645.102205377
Provinsi Sulawesi Utara,3060077.528720254,2723655.9284039955,2584175.9712423417,2479068.8935189904,2408604.07678223,2274284.6487104874,2450803.2143576127,2143138.8990257634,1986483.442615991,1798662.8165213033,2048094.9882978585,2001841.520557315,1760632.6312247647,1773425.33716362,1585010.853339009,2136510.236640243,1395803.4439233772,1261231.6653226381,1075514.0450270378,1395023.11983541,1206300.3294133022,1050840.0383533305,848382.8503092303,0.0,361785.4859615172,650790.1226113245,564146.7561105533,170319.1637935493,652454.5965264272,808606.4266452368,439333.2313744655,1046739.2780513462,1659660.5373867436
Provinsi Sulawesi Tengah,2829009.34989335,2468847.502572354,2299098.0776202325,2205369.3575805337,2115234.159475165,1960961.347273017,2137193.901109087,1816028.2887660903,1675493.8892991275,1594870.2417877065,1705273.5551499052,1651958.2320008979,1404956.5805665685,1414663.7177719045,1224351.8912968768,1794182.7553555786,1037619.2307091007,918045.6409010539,800262.0655452696,1117028.186249417,897699.1800091008,709608.9377728731,654422.596629879,361785.4859615172,0.0,296753.7921452165,310952.07646149123,260551.21958153683,291687.34821157117,988048.7734674911,782144.7991033192,1305339.231386635,1875762.3861006892
Provinsi Sulawesi Selatan,2743547.578311787,2361240.705855147,2157080.022879133,2078899.8633160058,1964895.6380885777,1784844.8916478225,1958400.971868124,1620419.3766688434,1507664.86893357,1562360.9557384397,1482865.3435285522,1415119.604912837,1155705.2447793582,1155068.6255361552,957664.6692069472,1571755.7852073885,745192.6846058256,622377.213340308,565069.179833396,1016987.5703979785,765186.1497749062,525095.3282996648,707883.096591177,650790.1226113245,296753.7921452165,0.0,250004.43563406248,555914.5502031719,122945.79290947264,1131205.7097960087,1046695.9955105145,1490480.4398790486,2011829.96797538
Provinsi Sulawesi Tenggara,2991687.532579822,2610896.793545879,2406522.51085189,2328897.6499557714,2213827.5191320227,2030433.0569778534,2203122.8161508455,1861756.5671643917,1755177.0577368678,1798936.5872832185,1714708.8050508923,1639535.483041554,1373841.5219508403,1364291.5065518,1162367.8352138237,1803126.0176093027,905358.9027579238,729314.2015317779,513519.62785973225,1264396.977312429,1014662.6012138425,774345.9077632836,905086.2496997742,564146.7561105533,310952.07646149123,250004.43563406248,0.0,536577.9955887974,357189.66638867493,891104.8788913473,890125.958277769,1261830.196498539,1765902.7277579394
Provinsi Gorontalo,2890785.522538463,2553359.3061485016,2414892.589124373,2309100.2625793586,2240235.4970523245,2109400.1475233147,2285810.6278893324,1982331.6563709308,1821429.9410991557,1630762.6314130952,1894674.3237352655,1853603.9845240926,1619129.9643766338,1636894.596101371,1453965.686195102,1982630.3400432493,1289641.78752369,1178083.2652589963,1045809.4049014633,1226097.378397296,1042728.9492958296,900650.6416603478,678829.7652128033,170319.1637935493,260551.21958153683,555914.5502031719,536577.9955887974,0.0,530611.0744058494,960963.8696243224,604500.5970113028,1215191.0785872694,1823708.659979621
Provinsi Sulawesi Barat,2635934.7396887187,2258412.277746993,2063885.5724003324,1980793.173921914,1874157.1116774597,1703498.067236658,1878493.636840318,1547417.1356077562,1422301.0146160857,1444167.792985664,1423962.8874149541,1365394.2749390774,1114873.180942133,1123168.304492363,932761.9732797212,1513022.7792293713,761090.7211527028,674927.9233999449,674614.8590659732,908511.2874550632,663251.4158425054,439797.8863462481,586425.8811788645,652454.5965264272,291687.34821157117,122945.79290947264,357189.66638867493,530611.0744058494,0.0,1213927.4569990097,1072070.6015339636,1559949.824593289,2100000.844016602
Provinsi Maluku,3816526.6251475927,3456071.865811369,3276111.741424557,3188200.7383861225,3087670.200967682,2915187.5829377966,3089234.9977944014,2751257.019158013,2635739.4844612605,2573334.195773963,2605408.0101129957,2527520.2395513575,2259146.3988030413,2243540.6789136785,2040214.13020622,2693668.581369887,1751739.237679924,1536371.6077753368,1168745.143305575,2102745.8667153055,1872194.520383912,1651932.8272618656,1619835.6690003152,808606.4266452368,988048.7734674911,1131205.7097960087,891104.8788913473,960963.8696243224,1213927.4569990097,0.0,591959.5358442633,397223.6147126248,888780.1872666565
Provinsi Maluku Utara,3469062.6342216353,3145210.9573843926,3017158.8653721786,2908638.833364317,2844068.508130539,2713226.3260803614,2889709.600817223,2582273.739559204,2425341.330479632,2202207.3768658563,2483789.9451949587,2433627.6956989616,2186788.833888799,2194451.639051466,2000994.9736798797,2572443.0686267396,1783148.062518909,1619247.9364135542,1355309.3063276566,1829510.5651255026,1645508.588265416,1486112.2902406685,1267387.0924002705,439333.2313744655,782144.7991033192,1046695.9955105145,890125.958277769,604500.5970113028,1072070.6015339636,591959.5358442633,0.0,678279.3260171802,1312524.1253303762
Provinsi Papua Barat,4105706.3183132913,3762384.344989255,3603919.3351089964,3507354.427682256,3420572.2423124677,3261732.0546350433,3437311.949476108,3107057.524536067,2978103.9105967167,2845401.665223881,2972964.4429057664,2900996.5134315207,2635634.662147251,2624323.6527321613,2421539.36423882,3061746.875953452,2141591.293311045,1930184.805248654,1565948.9257965728,2418122.3156303056,2202836.8956381115,1999500.9281306576,1893802.685667783,1046739.2780513462,1305339.231386635,1490480.4398790486,1261830.196498539,1215191.0785872694,1559949.824593289,397223.6147126248,678279.3260171802,0.0,634576.432015624
Provinsi Papua,4701891.163078578,4344474.537096558,4163621.479870846,4076848.393035034,3974099.8632089337,3796209.6713659186,3969024.215415413,3626320.724475745,3519361.8637623293,3451461.1511990367,3468759.05089005,3382542.7925859713,3110657.460996991,3086287.0530009107,2883609.514934406,3555919.109211386,2573056.411810035,2341815.895895799,1941629.3602122646,2991436.491714787,2760273.12056415,2535733.092321599,2496645.102205377,1659660.5373867436,1875762.3861006892,2011829.96797538,1765902.7277579394,1823708.659979621,2100000.844016602,888780.1872666565,1312524.1253303762,634576.432015624,0.0
